SEQ_VALUE,MSG_TIME_STAMP,HEAT_NUMBER,AGGREGATE,AL_KGS,AL_MTS,MSG_FLAG,UPDATE_DATE
7748,2022-04-01 15:44:12.773,22301630,LF3,34.8169391,104.4508173,C,2022-04-01 15:44:38.147
7747,2022-04-01 15:28:35.447,22101605,LF1,106.414129378947,319.242388136842,C,2022-04-01 15:28:38.100
7746,2022-04-01 14:56:35.457,22301629,LF3,275.860241336842,827.580724010526,C,2022-04-01 14:56:38.260
7745,2022-04-01 14:31:35.460,22101604,LF1,258.675628936842,776.026886810526,C,2022-04-01 14:31:38.123
7744,2022-04-01 13:38:11.847,22201606,LF2,69.2869654,207.8608962,C,2022-04-01 13:38:37.997
7743,2022-04-01 12:50:49.940,22201605,LF2,58.6794427,176.0383281,C,2022-04-01 12:51:08.227
7742,2022-04-01 12:40:56.800,22101603,LF1,260.160008536842,780.480025610526,C,2022-04-01 12:41:08.043
7741,2022-04-01 12:26:11.440,22301628,LF3,94.9090295789474,284.727088736842,C,2022-04-01 12:26:38.120
7740,2022-04-01 10:56:13.230,22201604,LF2,259.429548336842,778.288645010526,C,2022-04-01 10:56:37.980
7739,2022-04-01 10:56:13.213,22201604,LF2,259.429548336842,778.288645010526,C,2022-04-01 10:56:37.967
7737,2022-04-01 10:28:12.040,22101601,LF1,154.878703578947,464.636110736842,C,2022-04-01 10:28:37.963
7738,2022-04-01 10:28:12.040,22101601,LF1,154.878703578947,464.636110736842,C,2022-04-01 10:28:38.037
7735,2022-04-01 10:05:29.973,22301626,LF3,75.8427427789474,227.528228336842,C,2022-04-01 10:05:37.897
7736,2022-04-01 10:05:29.973,22301626,LF3,75.8427427789474,227.528228336842,C,2022-04-01 10:05:37.930
7734,2022-04-01 09:44:49.887,22201603,LF2,190.6690484,572.0071452,C,2022-04-01 09:45:08.470
7733,2022-04-01 09:44:49.883,22201603,LF2,190.6690484,572.0071452,C,2022-04-01 09:45:07.997
7731,2022-04-01 09:00:11.950,22301625,LF3,102.5339048,307.6017144,C,2022-04-01 09:00:37.740
