SEQ_VALUE,MSG_TIME_STAMP,HEAT_NUMBER,AGGREGATE,AL_KGS,AL_MTS,MSG_FLAG,UPDATE_DATE
7472,2022-03-28 09:54:54.317,22401591,LF4,146.0583714,438.1751142,C,2022-03-28 09:55:13.073
7471,2022-03-28 08:28:14.253,22401590,LF4,66.5958305157895,199.787491547368,C,2022-03-28 08:28:42.190
7470,2022-03-28 08:16:54.320,22101523,LF1,130.667976915789,392.003930747368,C,2022-03-28 08:17:12.697
7469,2022-03-28 07:56:14.487,22301551,LF3,146.481771115789,439.445313347368,C,2022-03-28 07:56:42.233
7468,2022-03-28 07:35:34.247,22401589,LF4,103.688746915789,311.066240747368,C,2022-03-28 07:35:42.187
7467,2022-03-28 07:29:09.390,22101522,LF1,125.640207021053,376.920621063158,C,2022-03-28 07:29:12.850
7466,2022-03-28 06:56:54.553,22301550,LF3,161.721373421053,485.164120263158,C,2022-03-28 06:57:12.513
7465,2022-03-28 06:29:34.903,22201526,LF2,145.182715421053,435.548146263158,C,2022-03-28 06:29:42.137
7464,2022-03-28 05:58:57.410,22301549,LF3,150.709164078947,452.127492236842,C,2022-03-28 05:59:12.680
7463,2022-03-28 05:40:16.083,22101521,LF1,185.208631821053,555.625895463158,C,2022-03-28 05:40:42.090
7462,2022-03-28 05:12:57.327,22401587,LF4,124.593677115789,373.781031347368,C,2022-03-28 05:13:12.263
7461,2022-03-28 05:11:11.533,22101520,LF1,164.306993884211,492.920981652632,C,2022-03-28 05:11:12.180
7460,2022-03-28 04:20:57.450,22301548,LF3,167.936515284211,503.809545852632,C,2022-03-28 04:21:12.233
7459,2022-03-28 03:52:11.850,22201524,LF2,0,0,C,2022-03-28 03:52:42.060
7458,2022-03-28 03:35:35.660,22301547,LF3,179.2971808,537.8915424,C,2022-03-28 03:35:42.013
7457,2022-03-28 03:25:40.663,22101519,LF1,183.697419984211,551.092259952632,C,2022-03-28 03:25:42.107
7456,2022-03-28 02:45:39.280,22401585,LF4,177.950391784211,533.851175352632,C,2022-03-28 02:45:42.380
7455,2022-03-28 02:33:35.640,22101518,LF1,184.028427684211,552.085283052632,C,2022-03-28 02:33:41.963
